Q,Region,CBA_2016-01,CBT_2016-01,index,CBA_ARScorr,CBT_ARScorr,CBA_2022-12,CBT_2022-12
2013-05-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,45.50565067464645,627,1529,20604,50217
2013-05-15,noreste,1232.130273205757,2811.8558949373987,45.50565067464645,561,1280,18416,42027
2013-05-15,noroeste,1197.4449498245592,2708.834587450183,45.50565067464645,545,1233,17898,40488
2013-05-15,pampeana,1366.1084763454912,3328.815534019302,45.50565067464645,622,1515,20419,49754
2013-05-15,patagonia,1422.3866776697025,3935.376729360791,45.50565067464645,647,1791,21260,58820
2013-08-15,cuyo,1227.3627684117912,3184.7771977502325,49.7957365045228,611,1586,18345,47601
2013-08-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,49.7957365045228,686,1673,20604,50217
2013-08-15,noreste,1232.130273205757,2811.8558949373987,49.7957365045228,614,1400,18416,42027
2013-08-15,noroeste,1197.4449498245592,2708.834587450183,49.7957365045228,596,1349,17898,40488
2013-08-15,pampeana,1366.1084763454912,3328.815534019302,49.7957365045228,680,1658,20419,49754
2013-08-15,patagonia,1422.3866776697025,3935.376729360791,49.7957365045228,708,1960,21260,58820
2013-11-15,cuyo,1227.3627684117912,3184.7771977502325,53.21449966821745,653,1695,18345,47601
2013-11-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,53.21449966821745,734,1788,20604,50217
2013-11-15,noreste,1232.130273205757,2811.8558949373987,53.21449966821745,656,1496,18416,42027
2013-11-15,noroeste,1197.4449498245592,2708.834587450183,53.21449966821745,637,1441,17898,40488
2013-11-15,pampeana,1366.1084763454912,3328.815534019302,53.21449966821745,727,1771,20419,49754
2013-11-15,patagonia,1422.3866776697025,3935.376729360791,53.21449966821745,757,2094,21260,58820
2014-02-15,cuyo,1227.3627684117912,3184.7771977502325,59.826110902567486,734,1905,18345,47601
2014-02-15,gran_buenos_aires,1378.4918374345125,3359.7448804773067,59.826110902567486,825,2010,20604,50217
2014-02-15,noreste,1232.130273205757,2811.8558949373987,59.826110902567486,737,1682,18416,42027
